Station,Latitude,Longitude,Dates,TDS,EC,pH,SAR,Suitability,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EC_br,MNDWI,NDWI,SAR_br,TDS_br,pH_br
WARC,9.335145,40.172296,12/04/2024,456.96,0.714,8.75,66.16,0,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WARC,9.335145,40.172296,12/04/2024,468.48,0.732,8.71,65.21,0,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
KESEM,9.335145,40.172296,16/04/2024,331.52,0.518,8.25,68.18,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
KESEM,9.335145,40.172296,16/04/2024,329.6,0.515,8.4,46.83,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
KESEM,9.335145,40.172296,16/04/2024,330.24,0.516,8.36,48.23,1,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
Beseka  out  gate,8.888565,39.917802,16/04/2024,1440,2.25,10.01,300.31,0,0.0166,0.019400001,0.0173,0.019099999,0.034299999,0.026900001,0.031800002,0.0144,0.017899999,0.0146,0.0135,0.046999998,2.191922431,0.277467391,0.402862969,308.2256643,1358.21143,7.398712366
Beseka  out  gate,8.888565,39.917802,16/04/2024,1452.8,2.27,10.02,312.81,0,0.0166,0.019400001,0.0173,0.019099999,0.034299999,0.026900001,0.031800002,0.0144,0.017899999,0.0146,0.0135,0.046999998,2.191922431,0.277467391,0.402862969,308.2256643,1358.21143,7.398712366
Beseka  out  gate,8.888565,39.917802,16/04/2024,1440,2.25,10.03,296.88,0,0.0166,0.019400001,0.0173,0.019099999,0.034299999,0.026900001,0.031800002,0.0144,0.017899999,0.0146,0.0135,0.046999998,2.191922431,0.277467391,0.402862969,308.2256643,1358.21143,7.398712366
Beseka  middle,8.89731,39.90717,16/04/2024,1459.2,2.28,10.02,319.15,0,0.0108,0.0142,0.0129,0.014,0.024599999,0.018100001,0.022500001,0.0123,0.0141,0.0119,0.0133,0.0043,2.693107535,0.268041219,0.347945181,339.1519129,1662.865298,7.588445376
Beseka  middle,8.89731,39.90717,16/04/2024,1446.4,2.26,10.02,333.12,0,0.0108,0.0142,0.0129,0.014,0.024599999,0.018100001,0.022500001,0.0123,0.0141,0.0119,0.0133,0.0043,2.693107535,0.268041219,0.347945181,339.1519129,1662.865298,7.588445376
Beseka  middle,8.89731,39.90717,16/04/2024,1459.2,2.28,10.01,317.58,0,0.0108,0.0142,0.0129,0.014,0.024599999,0.018100001,0.022500001,0.0123,0.0141,0.0119,0.0133,0.0043,2.693107535,0.268041219,0.347945181,339.1519129,1662.865298,7.588445376
Beseka  uper,8.90574,39.8977,16/04/2024,2028.8,3.17,10.25,467.35,0,0.0047,0.0141,0.0143,0.0109,0.0188,0.0162,0.021199999,0.0074,0.0087,0.0075,0.0089,0,2.943189949,0.142857127,0.429657798,364.6492915,1740.60855,7.820746663
Beseka  uper,8.90574,39.8977,16/04/2024,2035.2,3.18,10.22,408.49,0,0.0047,0.0141,0.0143,0.0109,0.0188,0.0162,0.021199999,0.0074,0.0087,0.0075,0.0089,0,2.943189949,0.142857127,0.429657798,364.6492915,1740.60855,7.820746663
Beseka  uper,8.90574,39.8977,16/04/2024,2028.8,3.17,10.21,418.18,0,0.0047,0.0141,0.0143,0.0109,0.0188,0.0162,0.021199999,0.0074,0.0087,0.0075,0.0089,0,2.943189949,0.142857127,0.429657798,364.6492915,1740.60855,7.820746663
DEHOSPPRING,9.166462,40.083482,16/04/2024,1408,2.2,8.98,226.15,0,0.032299999,0.1215,0.090700001,0.025699999,0.0414,0.052999999,0.088200003,0.133100003,0.151700005,0.087499999,0.155399993,0.218799993,1.837624662,-0.491712704,-0.35764157,126.1477264,1248.135143,8.03371886
DEHOSPPRING,9.166462,40.083482,16/04/2024,1388.8,2.17,8.97,227.04,0,0.032299999,0.1215,0.090700001,0.025699999,0.0414,0.052999999,0.088200003,0.133100003,0.151700005,0.087499999,0.155399993,0.218799993,1.837624662,-0.491712704,-0.35764157,126.1477264,1248.135143,8.03371886
DEHOSPPRING,9.166462,40.083482,16/04/2024,1395.2,2.18,9.04,231.67,0,0.032299999,0.1215,0.090700001,0.025699999,0.0414,0.052999999,0.088200003,0.133100003,0.151700005,0.087499999,0.155399993,0.218799993,1.837624662,-0.491712704,-0.35764157,126.1477264,1248.135143,8.03371886
KEBENA,9.251618,40.048613,16/04/2024,201.6,0.315,8.72,28.96,0,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
KEBENA,9.251618,40.048613,16/04/2024,200.96,0.314,8.81,27.07,0,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
KEBENA,9.251618,40.048613,16/04/2024,186.24,0.291,8.83,23.57,0,0.043000001,0.091899998,0.0691,0.061099999,0.076700002,0.076899998,0.098499998,0.096699998,0.104599997,0.084399998,0.1008,0.245900005,0.590510384,-0.09015419,-0.047796376,36.55041822,361.5273014,7.917661114
WEIR SITE,9.206525,40.119202,16/04/2024,488.32,0.763,8.97,83.62,0,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
WEIR SITE,9.206525,40.119202,16/04/2024,484.48,0.757,8.97,84.48,0,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
WEIR SITE,9.206525,40.119202,16/04/2024,484.48,0.757,8.98,83.79,0,0.033500001,0.130899996,0.068700001,0.033,0.0625,0.048300002,0.105899997,0.245499998,0.318300009,0.403600007,0.317699999,0.330500007,0.243268343,-0.353671133,-0.731817211,24.23735773,258.79566,8.270356541
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,487.68,0.762,8.97,79.12,0,0.041299999,0.0616,0.048500001,0.0625,0.090999998,0.109999999,0.118100002,0.117700003,0.130700007,0.123000003,0.132799998,0.143600002,0.37763003,0.192660543,-0.149532734,57.0767142,135.3737275,8.061316276
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,497.92,0.778,8.98,80.77,0,0.041299999,0.0616,0.048500001,0.0625,0.090999998,0.109999999,0.118100002,0.117700003,0.130700007,0.123000003,0.132799998,0.143600002,0.37763003,0.192660543,-0.149532734,57.0767142,135.3737275,8.061316276
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,494.08,0.772,8.94,79.1,0,0.041299999,0.0616,0.048500001,0.0625,0.090999998,0.109999999,0.118100002,0.117700003,0.130700007,0.123000003,0.132799998,0.143600002,0.37763003,0.192660543,-0.149532734,57.0767142,135.3737275,8.061316276
WARC,9.335145,40.172296,16/04/2024,576.64,0.901,8.93,83.72,0,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WARC,9.335145,40.172296,16/04/2024,573.44,0.896,8.92,84.71,0,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
WARC,9.335145,40.172296,16/04/2024,577.28,0.902,8.94,82.59,0,0.0381,0.082599998,0.066399999,0.047699999,0.069799997,0.088799998,0.107600003,0.108499996,0.122500002,0.108599998,0.1175,0.1699,0.649308653,-0.083989508,-0.217488802,30.99356955,598.1061804,8.048864632
