TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.563673812,0.733727811,0.854477612,0.547718488,0.516789927,0.217917425,0.314539134,0.023202017,0.264852137
0.586370904,0.763313609,0.839552239,0.548054744,0.51703735,0.218269954,0.315262783,0.023275185,0.265518702
0.631765088,0.822485207,0.492537313,0.557897173,0.527728301,0.226535581,0.319058086,0.025122834,0.266308047
0.048415946,0.065088757,0.242537313,0.568401217,0.538102096,0.235607393,0.325248497,0.027193423,0.2692101
0.032782054,0.044378698,0.194029851,0.560423994,0.53032965,0.228633464,0.319975119,0.025597874,0.266398237
0.10060232,0.136094675,0.294776119,0.568401217,0.538102096,0.235607393,0.325248497,0.027193423,0.2692101
0.180753543,0.24260355,0.656716418,0.484116162,0.474776243,0.167376407,0.26883017,0.013967326,0.239171532
0.586370904,0.763313609,0.902985075,0.484475141,0.475039778,0.167708954,0.269673009,0.014022165,0.239974051
0.563673812,0.733727811,0.902985075,0.484798923,0.475280178,0.168011622,0.270451663,0.014072194,0.240718197
0.169303369,0.227810651,0.294776119,0.518802289,0.504008379,0.194617112,0.29340478,0.018823432,0.255086847
0.330266403,0.443786982,0.339552239,0.512382034,0.49865757,0.189521712,0.289336317,0.017862968,0.25278293
0.048636142,0.065088757,0.27238806,0.536542614,0.51869309,0.209240474,0.30704841,0.0217134,0.263830974
0.16159652,0.215976331,0.317164179,0.536542614,0.51869309,0.209240474,0.30704841,0.0217134,0.263830974
0.119047942,0.218934911,0.417910448,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
0.587278788,0.763313609,0.794776119,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
0.583420282,0.76035503,0.791044776,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
0.099428955,0.099428955,0.292592593,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
0.097413504,0.097413504,0.418518519,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
