Station,Latitude,Longitude,Dates,TDS,EC,pH
WARC,9.335145,40.172296,27/06/2023,377.6,0.59,8.67
WEIR SITE,9.206525,40.119202,27/06/2023,364.16,0.569,8.71
WEIR SITE,9.206525,40.119202,27/06/2023,368.64,0.576,8.95
WEIR SITE,9.206525,40.119202,27/06/2023,366.08,0.572,9.01
KEBENA,9.251618,40.048613,27/06/2023,192,0.3,9.09
KEBENA,9.251618,40.048613,27/06/2023,188.16,0.294,9.11
KEBENA,9.251618,40.048613,27/06/2023,188.16,0.294,9
KESEM,9.198116,40.045662,27/06/2023,356.48,0.557,8.26
KESEM,9.198116,40.045662,27/06/2023,336.64,0.526,8.79
KESEM,9.198116,40.045662,27/06/2023,336,0.525,8.86
AWASHRIVER@ADDIS RAI,9.188908,40.125419,27/06/2023,381.44,0.596,8.78
AWASHRIVER@ADDIS RAI,9.188908,40.125419,27/06/2023,165.12,0.258,8.78
AWASHRIVER@ADDIS RAI,9.188908,40.125419,27/06/2023,339.84,0.531,8.8
DEHOSPPRING,9.166462,40.083482,27/06/2023,1172.48,1.832,9.26
DEHOSPPRING,9.166462,40.083482,27/06/2023,1152,1.8,9.24
DEHOSPPRING,9.166462,40.083482,27/06/2023,1146.88,1.792,9.13
WARC,9.335145,40.172296,08/08/2023,508.8,0.795,8.6
WARC,9.335145,40.172296,08/08/2023,496.64,0.776,8.4
WARC,9.335145,40.172296,08/08/2023,497.92,0.778,8.81
WEIR SITE,9.206525,40.119202,08/08/2023,220.8,0.345,8.31
WEIR SITE,9.206525,40.119202,08/08/2023,218.88,0.342,8.62
WEIR SITE,9.206525,40.119202,08/08/2023,216.96,0.339,8.7
KEBENA,9.251618,40.048613,08/08/2023,444.16,0.694,9.01
KEBENA,9.251618,40.048613,08/08/2023,440.96,0.689,9.07
KEBENA,9.251618,40.048613,08/08/2023,444.16,0.694,9.09
KESEM,9.198116,40.045662,08/08/2023,414.72,0.648,9.07
KESEM,9.198116,40.045662,08/08/2023,416.64,0.651,9.01
KESEM,9.198116,40.045662,08/08/2023,419.84,0.656,9.03
AWASHRIVER@ADDIS RAI,9.188908,40.125419,08/08/2023,447.36,0.699,9.16
AWASHRIVER@ADDIS RAI,9.188908,40.125419,08/08/2023,446.72,0.698,9.2
AWASHRIVER@ADDIS RAI,9.188908,40.125419,08/08/2023,449.28,0.702,9.18
DEHOSPPRING,9.166462,40.083482,08/08/2023,1344,2.1,9.66
DEHOSPPRING,9.166462,40.083482,08/08/2023,1344,2.1,9.58
DEHOSPPRING,9.166462,40.083482,08/08/2023,1344,2.1,9.61
WARC,9.335145,40.172296,13/08/2023,297.6,0.465,7.55
WARC,9.335145,40.172296,13/08/2023,295.04,0.461,7.88
WARC,9.335145,40.172296,13/08/2023,296.32,0.463,8.31
WEIR SITE,9.206525,40.119202,13/08/2023,153.6,0.24,7.61
WEIR SITE,9.206525,40.119202,13/08/2023,136.32,0.213,7.81
WEIR SITE,9.206525,40.119202,13/08/2023,138.24,0.216,7.99
KEBENA,9.251618,40.048613,13/08/2023,312.96,0.489,8
KEBENA,9.251618,40.048613,13/08/2023,264.32,0.413,8.27
KEBENA,9.251618,40.048613,13/08/2023,274.56,0.429,8.19
KESEM,9.198116,40.045662,13/08/2023,348.8,0.545,8.25
KESEM,9.198116,40.045662,13/08/2023,321.28,0.502,8.22
KESEM,9.198116,40.045662,13/08/2023,265.6,0.415,8.3
AWASHRIVER@ADDIS RAI,9.188908,40.125419,13/08/2023,272,0.425,8.31
AWASHRIVER@ADDIS RAI,9.188908,40.125419,13/08/2023,268.16,0.419,8.4
AWASHRIVER@ADDIS RAI,9.188908,40.125419,13/08/2023,271.36,0.424,8.53
DEHOSPPRING,9.166462,40.083482,13/08/2023,1280,2,8.82
DEHOSPPRING,9.166462,40.083482,13/08/2023,1356.8,2.12,8.8
DEHOSPPRING,9.166462,40.083482,13/08/2023,1344,2.1,8.72
WARC,9.335145,40.172296,18/08/2023,289.28,0.452,8.85
WARC,9.335145,40.172296,18/08/2023,287.36,0.449,8.8
WARC,9.335145,40.172296,18/08/2023,289.92,0.453,8.82
WEIR SITE,9.206525,40.119202,18/08/2023,147.2,0.23,8.75
WEIR SITE,9.206525,40.119202,18/08/2023,150.4,0.235,8.65
WEIR SITE,9.206525,40.119202,18/08/2023,149.12,0.233,8.73
KEBENA,9.251618,40.048613,18/08/2023,252.8,0.395,8.82
KEBENA,9.251618,40.048613,18/08/2023,251.52,0.393,8.81
KEBENA,9.251618,40.048613,18/08/2023,251.52,0.393,8.85
KESEM,9.198116,40.045662,18/08/2023,416,0.65,8.98
KESEM,9.198116,40.045662,18/08/2023,416.64,0.651,8.99
KESEM,9.198116,40.045662,18/08/2023,420.48,0.657,9.03
AWASHRIVER@ADDIS RAI,9.188908,40.125419,18/08/2023,248.32,0.388,8.9
AWASHRIVER@ADDIS RAI,9.188908,40.125419,18/08/2023,248.96,0.389,8.88
AWASHRIVER@ADDIS RAI,9.188908,40.125419,18/08/2023,246.4,0.385,8.86
DEHOSPPRING,9.166462,40.083482,18/08/2023,1491.2,2.33,9.66
DEHOSPPRING,9.166462,40.083482,18/08/2023,1472,2.3,9.64
DEHOSPPRING,9.166462,40.083482,18/08/2023,1478.4,2.31,9.63
KESEM,9.335145,40.172296,12/04/2024,325.76,0.509,8.34
KESEM,9.335145,40.172296,12/04/2024,321.92,0.503,8.68
KESEM,9.335145,40.172296,12/04/2024,327.68,0.512,8.58
Beseka  out  gate,8.888565,39.917802,12/04/2024,1491.2,2.33,10.01
Beseka  out  gate,8.888565,39.917802,12/04/2024,1529.6,2.39,10.01
Beseka  out  gate,8.888565,39.917802,12/04/2024,1542.4,2.41,10.01
Beseka  middle,8.89731,39.90717,12/04/2024,1497.6,2.34,9.97
Beseka  middle,8.89731,39.90717,12/04/2024,1529.6,2.39,9.98
Beseka  middle,8.89731,39.90717,12/04/2024,1497.6,2.34,9.98
Beseka  uper,8.90574,39.8977,12/04/2024,1516.8,2.37,9.59
Beseka  uper,8.90574,39.8977,12/04/2024,1529.6,2.39,9.61
Beseka  uper,8.90574,39.8977,12/04/2024,1536,2.4,9.67
DEHOSPPRING,9.166462,40.083482,12/04/2024,2028.8,3.17,10.18
DEHOSPPRING,9.166462,40.083482,12/04/2024,2041.6,3.19,10.19
DEHOSPPRING,9.166462,40.083482,12/04/2024,2028.8,3.17,10.19
KEBENA,9.251618,40.048613,12/04/2024,185.6,0.29,8.75
KEBENA,9.251618,40.048613,12/04/2024,215.68,0.337,8.74
KEBENA,9.251618,40.048613,12/04/2024,174.08,0.272,8.82
WEIR SITE,9.206525,40.119202,12/04/2024,379.52,0.593,9.11
WEIR SITE,9.206525,40.119202,12/04/2024,381.44,0.596,9.08
WEIR SITE,9.206525,40.119202,12/04/2024,380.16,0.594,8.78
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,387.84,0.606,8.35
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,387.84,0.606,8.46
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,389.12,0.608,8.47
WARC,9.335145,40.172296,12/04/2024,464.64,0.726,8.64
WARC,9.335145,40.172296,12/04/2024,456.96,0.714,8.75
WARC,9.335145,40.172296,12/04/2024,468.48,0.732,8.71
KESEM,9.335145,40.172296,16/04/2024,331.52,0.518,8.25
KESEM,9.335145,40.172296,16/04/2024,329.6,0.515,8.4
KESEM,9.335145,40.172296,16/04/2024,330.24,0.516,8.36
Beseka  out  gate,8.888565,39.917802,16/04/2024,1440,2.25,10.01
Beseka  out  gate,8.888565,39.917802,16/04/2024,1452.8,2.27,10.02
Beseka  out  gate,8.888565,39.917802,16/04/2024,1440,2.25,10.03
Beseka  middle,8.89731,39.90717,16/04/2024,1459.2,2.28,10.02
Beseka  middle,8.89731,39.90717,16/04/2024,1446.4,2.26,10.02
Beseka  middle,8.89731,39.90717,16/04/2024,1459.2,2.28,10.01
Beseka  uper,8.90574,39.8977,16/04/2024,2028.8,3.17,10.25
Beseka  uper,8.90574,39.8977,16/04/2024,2035.2,3.18,10.22
Beseka  uper,8.90574,39.8977,16/04/2024,2028.8,3.17,10.21
DEHOSPPRING,9.166462,40.083482,16/04/2024,1408,2.2,8.98
DEHOSPPRING,9.166462,40.083482,16/04/2024,1388.8,2.17,8.97
DEHOSPPRING,9.166462,40.083482,16/04/2024,1395.2,2.18,9.04
KEBENA,9.251618,40.048613,16/04/2024,201.6,0.315,8.72
KEBENA,9.251618,40.048613,16/04/2024,200.96,0.314,8.81
KEBENA,9.251618,40.048613,16/04/2024,186.24,0.291,8.83
WEIR SITE,9.206525,40.119202,16/04/2024,488.32,0.763,8.97
WEIR SITE,9.206525,40.119202,16/04/2024,484.48,0.757,8.97
WEIR SITE,9.206525,40.119202,16/04/2024,484.48,0.757,8.98
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,487.68,0.762,8.97
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,497.92,0.778,8.98
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,494.08,0.772,8.94
WARC,9.335145,40.172296,16/04/2024,576.64,0.901,8.93
WARC,9.335145,40.172296,16/04/2024,573.44,0.896,8.92
WARC,9.335145,40.172296,16/04/2024,577.28,0.902,8.94
