TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0.767947641,1,0.992537313,0.12514822,0.2820936,0.20673312,0.119642094,0.12459804,0.15065649,0.16952218,0.20573737,0.23126876,0.23208833,0.2609105,0.094310045
0.334670316,0.449704142,0.589552239,0.13153996,0.27235934,0.21038118,0.1255872,0.13129698,0.15890667,0.17318186,0.20236376,0.22538075,0.22330293,0.25015956,0.0914704
0.032561858,0.044378698,0.649253731,0.13781191,0.267473,0.21548994,0.1314177,0.13835557,0.16875169,0.17937428,0.20264429,0.22406375,0.21962805,0.24552457,0.08881259
0.121080517,0.162721893,0.634328358,0.13329475,0.27050328,0.21136121,0.1272227,0.1331866,0.16131254,0.1745664,0.20228249,0.22484252,0.221976,0.248578,0.090410955
0.129668148,0.174556213,0.645522388,0.13781191,0.267473,0.21548994,0.1314177,0.13835557,0.16875169,0.17937428,0.20264429,0.22406375,0.21962805,0.24552457,0.08881259
0.130989322,0.177514793,0.641791045,0.12571971,0.27907833,0.21394026,0.116922624,0.121124044,0.14972538,0.1649529,0.19078891,0.21164185,0.21239969,0.23707731,0.08724917
0.700195127,0.940828402,0.955223881,0.12572107,0.27970785,0.21448931,0.11701458,0.12130175,0.15011014,0.1653688,0.19108663,0.21196777,0.21278873,0.23746324,0.08757398
0.722214694,0.970414201,0.947761194,0.1257146,0.28026623,0.21497709,0.11709139,0.121455565,0.15044922,0.16573523,0.19134147,0.21224551,0.21312548,0.2377913,0.08787635
0.322339359,0.431952663,0.552238806,0.13120164,0.2701651,0.21468666,0.12299433,0.12835528,0.15845859,0.17111796,0.19247484,0.21128158,0.20966934,0.23222828,0.08587698
0.033883032,0.044378698,0.46641791,0.13722648,0.26598734,0.21826999,0.12954368,0.13622704,0.16851486,0.1791768,0.19714558,0.21469575,0.21088307,0.23258866,0.08412124
0.119979539,0.162721893,0.462686567,0.13282502,0.2683405,0.21508634,0.12467711,0.13031374,0.1608025,0.17287791,0.19340104,0.21182306,0.20955059,0.2318532,0.0851055
0.123722865,0.165680473,0.425373134,0.13722648,0.26598734,0.21826999,0.12954368,0.13622704,0.16851486,0.1791768,0.19714558,0.21469575,0.21088307,0.23258866,0.08412124
0.048415946,0.065088757,0.167910448,0.14535439,0.2098727,0.13463831,0.11852187,0.11841638,0.10318739,0.1315128,0.22997683,0.26944432,0.25497037,0.28919277,0.07197657
0.563673812,0.733727811,0.813432836,0.146103,0.20985954,0.13459824,0.11893552,0.118869334,0.103527166,0.13203445,0.23097952,0.27063298,0.25612596,0.29042763,0.07266542
0.563673812,0.733727811,0.779850746,0.14681235,0.20984697,0.13457297,0.11932796,0.11930084,0.10385974,0.13253424,0.23191534,0.27173722,0.25720218,0.29157385,0.07331888
0.039167728,0.053254438,0.302238806,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.55418846,0.733727811,0.817164179,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.54097672,0.704142012,0.824626866,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.356920242,0.464497041,0.421641791,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.032782054,0.044378698,0.145522388,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.027937749,0.038461538,0.134328358,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.032782054,0.044378698,0.205223881,0.1646,0.21925,0.17795,0.14935,0.1533,0.17505,0.17615,0.19795,0.2172,0.1983,0.22705,0.0481
0.115999079,0.213017751,0.447761194,0.1205219,0.23002361,0.15491305,0.10384241,0.1079148,0.110148706,0.1414325,0.2164264,0.24864939,0.24652122,0.2751192,0.09621652
0.586370904,0.763313609,0.776119403,0.120625995,0.23066904,0.15530501,0.103940114,0.10806492,0.11043415,0.1418347,0.21693005,0.24926294,0.24718451,0.27583858,0.09668911
0.586370904,0.763313609,0.77238806,0.1207202,0.23125148,0.15565512,0.104027405,0.10819906,0.11069149,0.14219871,0.21738683,0.24982193,0.24779032,0.2764923,0.097131856
0.344358926,0.461538462,0.51119403,0.129131,0.23312174,0.1677593,0.113836676,0.11848575,0.12793565,0.15320326,0.21412994,0.24284463,0.23923814,0.26529026,0.09325726
0.02114556,0.047337278,0.208955224,0.13682765,0.2377401,0.18062922,0.122903876,0.12828377,0.14418396,0.16439684,0.21328267,0.2387967,0.23373671,0.25821885,0.0894016
0.086526735,0.162721893,0.223880597,0.13114426,0.23374124,0.1708889,0.116228454,0.121023804,0.13211612,0.15588103,0.21339867,0.24113482,0.23708662,0.2626388,0.09178873
0.098552806,0.183431953,0.582089552,0.13682765,0.2377401,0.18062922,0.122903876,0.12828377,0.14418396,0.16439684,0.21328267,0.2387967,0.23373671,0.25821885,0.0894016
0.170031708,0.233727811,0.097014925,0.23996213,0.37853315,0.32246983,0.23149729,0.23808812,0.2710192,0.2819816,0.3023681,0.3217571,0.31769428,0.34247625,0.18263085
0.32857259,0.449704142,0.194029851,0.2382583,0.38026816,0.32281163,0.22986557,0.23622896,0.26879498,0.280288,0.3012937,0.3210185,0.3175775,0.34254885,0.18403696
0.036559256,0.050295858,0,0.24461089,0.37606856,0.3237379,0.23617576,0.24347533,0.277577,0.28713414,0.30585697,0.32446525,0.31890616,0.3431853,0.17964968
0.163595219,0.224852071,0.044776119,0.24461089,0.37606856,0.3237379,0.23617576,0.24347533,0.277577,0.28713414,0.30585697,0.32446525,0.31890616,0.3431853,0.17964968
0.106818945,0.106818945,0.151851852,0.2539348,0.3388975,0.27860257,0.23155811,0.23736131,0.25162405,0.26497206,0.31278223,0.33945706,0.3263153,0.35812953,0.16794677
0.101108498,0.101108498,0.307407407,0.2539348,0.3388975,0.27860257,0.23155811,0.23736131,0.25162405,0.26497206,0.31278223,0.33945706,0.3263153,0.35812953,0.16794677
0.104803493,0.104803493,0.237037037,0.2539348,0.3388975,0.27860257,0.23155811,0.23736131,0.25162405,0.26497206,0.31278223,0.33945706,0.3263153,0.35812953,0.16794677
0.002687269,0.002687269,0.196296296,0.2580199,0.3372426,0.2736666,0.22676976,0.2313542,0.24154113,0.25739166,0.31175068,0.34003142,0.32802993,0.36016768,0.1710996
0.004030904,0.004030904,0.214814815,0.2580199,0.3372426,0.2736666,0.22676976,0.2313542,0.24154113,0.25739166,0.31175068,0.34003142,0.32802993,0.36016768,0.1710996
0.010413168,0.010413168,0.218518519,0.2580199,0.3372426,0.2736666,0.22676976,0.2313542,0.24154113,0.25739166,0.31175068,0.34003142,0.32802993,0.36016768,0.1710996
0.088008062,0.088008062,0.27037037,0.25069895,0.33832136,0.2729686,0.22443303,0.22916757,0.23897761,0.25598854,0.3115946,0.34035975,0.32934564,0.36141792,0.1727441
0.084648975,0.084648975,0.259259259,0.25069895,0.33832136,0.2729686,0.22443303,0.22916757,0.23897761,0.25598854,0.3115946,0.34035975,0.32934564,0.36141792,0.1727441
0.080618072,0.080618072,0.248148148,0.25069895,0.33832136,0.2729686,0.22443303,0.22916757,0.23897761,0.25598854,0.3115946,0.34035975,0.32934564,0.36141792,0.1727441
0.083305341,0.083305341,0.203703704,0.25322998,0.3378379,0.27219146,0.22352724,0.22787037,0.23668866,0.25407526,0.3111359,0.340255,0.32933903,0.36152476,0.1728942
0.081961706,0.081961706,0.214814815,0.25322998,0.3378379,0.27219146,0.22352724,0.22787037,0.23668866,0.25407526,0.3111359,0.340255,0.32933903,0.36152476,0.1728942
0.084984884,0.084984884,0.188888889,0.25322998,0.3378379,0.27219146,0.22352724,0.22787037,0.23668866,0.25407526,0.3111359,0.340255,0.32933903,0.36152476,0.1728942
0.084984884,0.084984884,0.207407407,0.25947648,0.3369389,0.27335703,0.22672404,0.23118359,0.24108589,0.25697002,0.31168884,0.3400305,0.32797447,0.36014923,0.17111544
0.084984884,0.084984884,0.144444444,0.25947648,0.3369389,0.27335703,0.22672404,0.23118359,0.24108589,0.25697002,0.31168884,0.3400305,0.32797447,0.36014923,0.17111544
0.087000336,0.087000336,0.177777778,0.25947648,0.3369389,0.27335703,0.22672404,0.23118359,0.24108589,0.25697002,0.31168884,0.3400305,0.32797447,0.36014923,0.17111544
0.59455828,0.59455828,0.4,0.25765038,0.3371067,0.27226773,0.22461319,0.22880776,0.23761432,0.2544822,0.3111957,0.3401232,0.32870588,0.36094517,0.17217271
0.591871011,0.591871011,0.42962963,0.25765038,0.3371067,0.27226773,0.22461319,0.22880776,0.23761432,0.2544822,0.3111957,0.3401232,0.32870588,0.36094517,0.17217271
0.580450118,0.580450118,0.455555556,0.25765038,0.3371067,0.27226773,0.22461319,0.22880776,0.23761432,0.2544822,0.3111957,0.3401232,0.32870588,0.36094517,0.17217271
0.104803493,0.104803493,0.166666667,0.25489044,0.37882343,0.31235623,0.2676895,0.27293587,0.29291996,0.3039202,0.34462327,0.36946797,0.35472766,0.38768122,0.16521192
0.10312395,0.10312395,0.244444444,0.25489044,0.37882343,0.31235623,0.2676895,0.27293587,0.29291996,0.3039202,0.34462327,0.36946797,0.35472766,0.38768122,0.16521192
0.105139402,0.105139402,0.262962963,0.25489044,0.37882343,0.31235623,0.2676895,0.27293587,0.29291996,0.3039202,0.34462327,0.36946797,0.35472766,0.38768122,0.16521192
0.020154518,0.020154518,0.22962963,0.25583005,0.3942914,0.3226221,0.28480422,0.28892767,0.3072727,0.31959313,0.36504817,0.39140785,0.37681356,0.41052946,0.1677048
0.019482701,0.019482701,0.225925926,0.25583005,0.3942914,0.3226221,0.28480422,0.28892767,0.3072727,0.31959313,0.36504817,0.39140785,0.37681356,0.41052946,0.1677048
