system:index,EC,pH_median,.geo
00000000000000000081,2.33,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
00000000000000000082,2.39,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
00000000000000000083,2.41,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
0000000000000000009c,2.25,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
0000000000000000009d,2.27,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
0000000000000000009e,2.25,7.719064716739028,"{""type"":""Polygon"",""coordinates"":[[[39.917801284830645,8.888656909950077],[39.917775844265826,8.888653328400565],[39.91775242877136,8.888642868843574],[39.91773290222157,8.888626363860375],[39.91771881893004,8.888605127248345],[39.9177112999262,8.888580849442455],[39.917710943721545,8.888555462956457],[39.91771777866852,8.888530988554658],[39.917731260704095,8.88850937439907],[39.91775031665759,8.888492340975839],[39.91777342967524,8.88848124414474],[39.917798759961755,8.888476967212961],[39.91782429122769,8.88847985062404],[39.91784799118568,8.88848966485861],[39.917867973320114,8.888505628704117],[39.91788264705337,8.888526471439157],[39.91789084435579,8.888550533982691],[39.91789191272094,8.888575900956694],[39.917885767105496,8.88860055315009],[39.91787289669919,8.88862252824795],[39.91785432598561,8.88864007703187],[39.91783153319363,8.888651802617925],[39.91780633263033,8.888656771648883],[39.917801284830645,8.888656909950077]]]}"
00000000000000000084,2.34,7.907122254171415,"{""type"":""Polygon"",""coordinates"":[[[39.907170787919235,8.897401207115882],[39.90714534674689,8.89739762556637],[39.90712193069326,8.897387166009375],[39.90710240367716,8.897370661026176],[39.907088320049326,8.897349424414143],[39.90708080086594,8.897325146608251],[39.90708044465278,8.897299760122253],[39.90708727976298,8.897275285720456],[39.907100762120514,8.89725367156487],[39.90711981852907,8.897236638141644],[39.90714293209866,8.897225541310545],[39.90716826299005,8.897221264378771],[39.90719379486567,8.897224147789847],[39.907217495389624,8.897233962024416],[39.90723747800123,8.89724992586992],[39.907252152084894,8.897270768604953],[39.90726034958307,8.897294831148487],[39.907261417973736,8.89732019812249],[39.90725527221156,8.897344850315886],[39.907242401497896,8.89736682541375],[39.90722383034084,8.897384374197673],[39.90720103700457,8.897396099783732],[39.90717583583946,8.89740106881469],[39.907170787919235,8.897401207115882]]]}"
00000000000000000085,2.39,7.907122254171415,"{""type"":""Polygon"",""coordinates"":[[[39.907170787919235,8.897401207115882],[39.90714534674689,8.89739762556637],[39.90712193069326,8.897387166009375],[39.90710240367716,8.897370661026176],[39.907088320049326,8.897349424414143],[39.90708080086594,8.897325146608251],[39.90708044465278,8.897299760122253],[39.90708727976298,8.897275285720456],[39.907100762120514,8.89725367156487],[39.90711981852907,8.897236638141644],[39.90714293209866,8.897225541310545],[39.90716826299005,8.897221264378771],[39.90719379486567,8.897224147789847],[39.907217495389624,8.897233962024416],[39.90723747800123,8.89724992586992],[39.907252152084894,8.897270768604953],[39.90726034958307,8.897294831148487],[39.907261417973736,8.89732019812249],[39.90725527221156,8.897344850315886],[39.907242401497896,8.89736682541375],[39.90722383034084,8.897384374197673],[39.90720103700457,8.897396099783732],[39.90717583583946,8.89740106881469],[39.907170787919235,8.897401207115882]]]}"
00000000000000000086,2.34,7.907122254171415,"{""type"":""Polygon"",""coordinates"":[[[39.907170787919235,8.897401207115882],[39.90714534674689,8.89739762556637],[39.90712193069326,8.897387166009375],[39.90710240367716,8.897370661026176],[39.907088320049326,8.897349424414143],[39.90708080086594,8.897325146608251],[39.90708044465278,8.897299760122253],[39.90708727976298,8.897275285720456],[39.907100762120514,8.89725367156487],[39.90711981852907,8.897236638141644],[39.90714293209866,8.897225541310545],[39.90716826299005,8.897221264378771],[39.90719379486567,8.897224147789847],[39.907217495389624,8.897233962024416],[39.90723747800123,8.89724992586992],[39.907252152084894,8.897270768604953],[39.90726034958307,8.897294831148487],[39.907261417973736,8.89732019812249],[39.90725527221156,8.897344850315886],[39.907242401497896,8.89736682541375],[39.90722383034084,8.897384374197673],[39.90720103700457,8.897396099783732],[39.90717583583946,8.89740106881469],[39.907170787919235,8.897401207115882]]]}"
0000000000000000009f,2.28,7.907122254171415,"{""type"":""Polygon"",""coordinates"":[[[39.907170787919235,8.897401207115882],[39.90714534674689,8.89739762556637],[39.90712193069326,8.897387166009375],[39.90710240367716,8.897370661026176],[39.907088320049326,8.897349424414143],[39.90708080086594,8.897325146608251],[39.90708044465278,8.897299760122253],[39.90708727976298,8.897275285720456],[39.907100762120514,8.89725367156487],[39.90711981852907,8.897236638141644],[39.90714293209866,8.897225541310545],[39.90716826299005,8.897221264378771],[39.90719379486567,8.897224147789847],[39.907217495389624,8.897233962024416],[39.90723747800123,8.89724992586992],[39.907252152084894,8.897270768604953],[39.90726034958307,8.897294831148487],[39.907261417973736,8.89732019812249],[39.90725527221156,8.897344850315886],[39.907242401497896,8.89736682541375],[39.90722383034084,8.897384374197673],[39.90720103700457,8.897396099783732],[39.90717583583946,8.89740106881469],[39.907170787919235,8.897401207115882]]]}"
