Station,Latitude,Longitude,Dates,TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,NDWI,SI1,SI2,SI3,SI4,SI5,SI6
Beseka  middle,8.89731,39.90717,19/05/2017,0.708664191,0.917159763,0.962686567,0.15902206,0.21071827,0.16082105,0.13123196,0.12649289,0.13345487,0.14123271,0.17521644,0.19473462,0.18322606,0.20877968,0.05494318,-0.24977046,-0.18317631,0.514477247,0.507666083,0.183876736,0.259581287,0.016881092,0.222648245
Beseka  middle,8.89731,39.90717,20/05/2017,0.708664191,0.902366864,0.951492537,0.15902206,0.21071827,0.16082105,0.13123196,0.12649289,0.13345487,0.14123271,0.17521644,0.19473462,0.18322606,0.20877968,0.05494318,-0.24977046,-0.18317631,0.514477247,0.507666083,0.183876736,0.259581287,0.016881092,0.222648245
Beseka  uper,8.90574,39.8977,19/05/2017,0.253706062,0.328402367,0.705223881,0.15841071,0.21076483,0.16103604,0.13083567,0.12619703,0.13328679,0.14108658,0.17507382,0.19461296,0.1831132,0.2086868,0.05470263,-0.25097144,-0.18401001,0.513928454,0.506983917,0.183551239,0.259271098,0.016820395,0.222387351
Beseka  uper,8.90574,39.8977,20/05/2017,0.233719071,0.304733728,0.746268657,0.15841071,0.21076483,0.16103604,0.13083567,0.12619703,0.13328679,0.14108658,0.17507382,0.19461296,0.1831132,0.2086868,0.05470263,-0.25097144,-0.18401001,0.513928454,0.506983917,0.183551239,0.259271098,0.016820395,0.222387351
Beseka  uper,8.90574,39.8977,20/03/2018,0.188324887,0.24556213,0.604477612,0.14173245,0.30610737,0.2479333,0.13522792,0.14168696,0.1722871,0.18362887,0.20802744,0.22996546,0.22427209,0.25386733,0.08016916,-0.3671784,-0.22566767,0.554540373,0.526227023,0.223065107,0.316316315,0.024410836,0.265279407
Beseka  uper,8.90574,39.8977,21/04/2018,0.135477926,0.171597633,0.51119403,0.14455324,0.23720881,0.19810478,0.14496711,0.14521267,0.16095383,0.16942438,0.19811943,0.21600187,0.2040386,0.22882764,0.05457038,-0.24056219,-0.16843443,0.553101206,0.538683371,0.216778355,0.297698854,0.023372535,0.25043656
AWASHRIVER@ADDIS RAI,9.188908,40.125419,21/04/2018,0.136155451,0.186390533,0.649253731,0.1610352,0.25040388,0.2106806,0.15411316,0.16255206,0.19291738,0.19567165,0.21531591,0.2328649,0.2158999,0.24373762,0.052379135,-0.21273898,-0.14096332,0.589092977,0.562730146,0.252270264,0.332043751,0.031359117,0.270251621
KEBENA,9.251618,40.048613,21/04/2018,0.062440717,0.085798817,0.541044776,0.16100413,0.25037903,0.2106569,0.15409593,0.16251938,0.19285715,0.19562218,0.2152835,0.23283313,0.21587753,0.24370952,0.052383266,-0.21278757,-0.14101107,0.589027231,0.562685803,0.252203148,0.331978218,0.031343024,0.270214097
KESEM,9.335145,40.172296,21/04/2018,0.08195344,0.112426036,0.578358209,0.16536278,0.25386846,0.21398258,0.1565146,0.16710478,0.20130989,0.20256326,0.21983111,0.23729256,0.21901426,0.24765246,0.05180379,-0.2061026,-0.13443905,0.598184327,0.568875541,0.261628896,0.341199244,0.033639845,0.27548367
DEHOSPPRING,9.166462,40.083482,21/04/2018,0.489552562,0.668639053,0.865671642,0.15929297,0.24900912,0.20935127,0.15314639,0.1607192,0.18953867,0.19289717,0.21349816,0.2310824,0.2146461,0.24216156,0.052610762,-0.21548405,-0.14366512,0.585393081,0.560237081,0.24850668,0.32837253,0.030462503,0.268148485
WEIR SITE,9.206525,40.119202,21/04/2018,0.144827773,0.198224852,0.585820896,0.16135879,0.25066295,0.21092752,0.15429273,0.16289249,0.19354494,0.19618697,0.21565354,0.23319599,0.21613277,0.24403036,0.05233611,-0.21223384,-0.14046632,0.589777646,0.563191995,0.252969577,0.33272659,0.031527016,0.270642458
