Station,Latitude,Longitude,Dates,TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,NDWI,SI1,SI2,SI3,SI4,SI5,SI6
KEBENA,9.251618,40.048613,12/04/2024,0.019818609,0.019818609,0.47037037,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
WEIR SITE,9.206525,40.119202,12/04/2024,0.12764528,0.12764528,0.577777778,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
WEIR SITE,9.206525,40.119202,12/04/2024,0.128653006,0.128653006,0.566666667,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
WEIR SITE,9.206525,40.119202,12/04/2024,0.127981189,0.127981189,0.455555556,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,0.132012093,0.132012093,0.296296296,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,0.132012093,0.132012093,0.337037037,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
AWASHRIVER@ADDIS RAI,9.188908,40.125419,12/04/2024,0.13268391,0.13268391,0.340740741,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
WARC,9.335145,40.172296,12/04/2024,0.172321129,0.172321129,0.403703704,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
WARC,9.335145,40.172296,12/04/2024,0.168290225,0.168290225,0.444444444,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
WARC,9.335145,40.172296,12/04/2024,0.17433658,0.17433658,0.42962963,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
KESEM,9.335145,40.172296,16/04/2024,0.102452133,0.102452133,0.259259259,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
KESEM,9.335145,40.172296,16/04/2024,0.101444407,0.101444407,0.314814815,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
KESEM,9.335145,40.172296,16/04/2024,0.101780316,0.101780316,0.3,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
DEHOSPPRING,9.166462,40.083482,16/04/2024,0.667450453,0.667450453,0.52962963,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
DEHOSPPRING,9.166462,40.083482,16/04/2024,0.657373194,0.657373194,0.525925926,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
DEHOSPPRING,9.166462,40.083482,16/04/2024,0.660732281,0.660732281,0.551851852,0.13505812,0.25767913,0.1994269,0.123952664,0.12721254,0.14793575,0.1590486,0.1901494,0.21205758,0.20490174,0.23232624,0.068811156,-0.33896965,-0.23392309,0.521429202,0.501163849,0.195110266,0.282935927,0.018819282,0.241179919
KEBENA,9.251618,40.048613,16/04/2024,0.034262681,0.034262681,0.433333333,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
KEBENA,9.251618,40.048613,16/04/2024,0.033926772,0.033926772,0.466666667,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
KEBENA,9.251618,40.048613,16/04/2024,0.026200873,0.026200873,0.474074074,0.13575959,0.259958,0.20215704,0.1251071,0.12891465,0.1503945,0.16099809,0.19025595,0.21152464,0.2046777,0.23129664,0.07013752,-0.33698267,-0.22711267,0.524882457,0.504005703,0.198084561,0.284834083,0.019388055,0.241892433
WEIR SITE,9.206525,40.119202,16/04/2024,0.184749748,0.184749748,0.525925926,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
WEIR SITE,9.206525,40.119202,16/04/2024,0.182734296,0.182734296,0.525925926,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
WEIR SITE,9.206525,40.119202,16/04/2024,0.182734296,0.182734296,0.52962963,0.13685429,0.25608668,0.19956182,0.12585874,0.12955755,0.15080488,0.16093655,0.19039442,0.21175857,0.20397875,0.2312637,0.06754858,-0.32809806,-0.22312774,0.525988228,0.505387266,0.198814662,0.284841358,0.01953791,0.241645377
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,0.184413839,0.184413839,0.525925926,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,0.189788378,0.189788378,0.52962963,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
AWASHRIVER@ADDIS RAI,9.188908,40.125419,16/04/2024,0.187772926,0.187772926,0.514814815,0.13661613,0.25567123,0.19896543,0.12552936,0.1290972,0.15017094,0.16044225,0.19031174,0.21181345,0.20401107,0.231448,0.06737444,-0.3289616,-0.22489348,0.52507171,0.504605348,0.198033825,0.284320086,0.019386647,0.241426182
WARC,9.335145,40.172296,16/04/2024,0.231105139,0.231105139,0.511111111,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
WARC,9.335145,40.172296,16/04/2024,0.229425596,0.229425596,0.507407407,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
WARC,9.335145,40.172296,16/04/2024,0.231441048,0.231441048,0.514814815,0.14167893,0.25401503,0.20196185,0.13115059,0.1362151,0.15911277,0.16672012,0.19162033,0.21151234,0.20231219,0.22898765,0.06493872,-0.30187294,-0.1952489,0.538760944,0.517074167,0.209455073,0.291207226,0.021673562,0.24389501
Beseka  out  gate,8.888565,39.917802,12/04/2024,0.711118576,0.711118576,0.911111111,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  out  gate,8.888565,39.917802,12/04/2024,0.731273094,0.731273094,0.911111111,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  out  gate,8.888565,39.917802,12/04/2024,0.737991266,0.737991266,0.911111111,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  middle,8.89731,39.90717,12/04/2024,0.714477662,0.714477662,0.896296296,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  middle,8.89731,39.90717,12/04/2024,0.731273094,0.731273094,0.9,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  middle,8.89731,39.90717,12/04/2024,0.714477662,0.714477662,0.9,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  uper,8.90574,39.8977,12/04/2024,0.724554921,0.724554921,0.755555556,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  uper,8.90574,39.8977,12/04/2024,0.731273094,0.731273094,0.762962963,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  uper,8.90574,39.8977,12/04/2024,0.73463218,0.73463218,0.785185185,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  out  gate,8.888565,39.917802,16/04/2024,0.684245885,0.684245885,0.911111111,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  out  gate,8.888565,39.917802,16/04/2024,0.690964058,0.690964058,0.914814815,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  out  gate,8.888565,39.917802,16/04/2024,0.684245885,0.684245885,0.918518519,0.12819989,0.26411945,0.19925104,0.11613968,0.11735327,0.13540098,0.15111256,0.19156158,0.21680991,0.21141535,0.24069045,0.071333215,-0.3847357,-0.2861042,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
Beseka  middle,8.89731,39.90717,16/04/2024,0.694323144,0.694323144,0.914814815,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  middle,8.89731,39.90717,16/04/2024,0.687604971,0.687604971,0.914814815,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  middle,8.89731,39.90717,16/04/2024,0.694323144,0.694323144,0.911111111,0.1282077,0.26469526,0.19978976,0.11620653,0.11748067,0.13561136,0.15132862,0.19166017,0.21687384,0.21155953,0.2407405,0.07159064,-0.3852011,-0.28591904,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
Beseka  uper,8.90574,39.8977,16/04/2024,0.993281827,0.993281827,1,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  uper,8.90574,39.8977,16/04/2024,0.996640914,0.996640914,0.988888889,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  uper,8.90574,39.8977,16/04/2024,0.993281827,0.993281827,0.985185185,0.1282107,0.2652139,0.20027138,0.116265334,0.11759497,0.13580282,0.15152255,0.19173487,0.21691144,0.21167415,0.2407634,0.07183769,-0.38562045,-0.28572124,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
Beseka  out  gate,8.888565,39.917802,10/09/2018,0.651074555,0.846153846,0.813432836,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547,-0.3590694,-0.38120055,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
Beseka  middle,8.89731,39.90717,10/09/2018,1,0.857988166,0.802238806,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016,-0.35903892,-0.38260117,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
Beseka  out  gate,8.888565,39.917802,10/09/2018,0.67817556,0.884615385,0.835820896,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547,-0.3590694,-0.38120055,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
Beseka  middle,8.89731,39.90717,10/09/2018,0.70188894,0.917159763,0.873134328,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016,-0.35903892,-0.38260117,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
Beseka  uper,8.90574,39.8977,10/09/2018,0.253706062,0.375739645,0.529850746,0.122857966,0.24658403,0.16793446,0.1093649,0.1162991,0.12422785,0.15499699,0.22703555,0.2617221,0.26122895,0.29287001,0.09978111,-0.35902724,-0.3838916,0.483314337,0.475041048,0.17017062,0.311766906,0.014447588,0.285947625
AWASHRIVER@ADDIS RAI,9.188908,40.125419,10/09/2018,0.021680804,0.029585799,0.503731343,0.13068838,0.2442496,0.18066934,0.11881026,0.12592335,0.14049172,0.16300227,0.21900128,0.24793522,0.24409845,0.2726651,0.094323166,-0.31965125,-0.31937334,0.509217029,0.494705578,0.188665351,0.308510405,0.01769119,0.274664788
KEBENA,9.251618,40.048613,10/09/2018,0,0,0.436567164,0.12889484,0.2433795,0.1777214,0.11693439,0.124460734,0.13788599,0.16273059,0.22285391,0.25299096,0.25030667,0.27906668,0.10101894,-0.3232892,-0.33579743,0.504797362,0.491319777,0.185749886,0.311699289,0.017161392,0.279542307
KESEM,9.335145,40.172296,10/09/2018,0.02883547,0.041420118,0.507462687,0.13522853,0.24449196,0.18802866,0.12441404,0.13238734,0.15075476,0.17016914,0.21932209,0.24597283,0.24053305,0.26804543,0.093756646,-0.29745498,-0.28999677,0.52456535,0.506755742,0.200632517,0.313224451,0.019958023,0.274558842
DEHOSPPRING,9.166462,40.083482,10/09/2018,0.502561045,0.686390533,0.708955224,0.1289856,0.24408796,0.17789543,0.116815865,0.123889446,0.13712938,0.16127229,0.2204681,0.25044116,0.24738355,0.27635017,0.096606344,-0.32664645,-0.33262345,0.503929803,0.490617276,0.184805471,0.308790678,0.016988883,0.276671675
WEIR SITE,9.206525,40.119202,10/09/2018,0.084988753,0.115384615,0.593283582,0.13077602,0.2441598,0.18080637,0.11895993,0.12618236,0.14086796,0.16345577,0.21949787,0.24842511,0.24462129,0.2731405,0.09510778,-0.31856334,-0.31941143,0.509733163,0.495118467,0.189118407,0.309201145,0.017775053,0.275248188
WARC,9.335145,40.172296,10/09/2018,0.074581967,0.103550296,0.548507463,0.13522853,0.24449196,0.18802866,0.12441404,0.13238734,0.15075476,0.17016914,0.21932209,0.24597283,0.24053305,0.26804543,0.093756646,-0.29745498,-0.28999677,0.52456535,0.506755742,0.200632517,0.313224451,0.019958023,0.274558842
Beseka  out  gate,8.888565,39.917802,21/10/2018,0.668012683,0.884615385,0.921641791,0.123074725,0.24665438,0.16829595,0.10955318,0.11632102,0.12435932,0.15463713,0.22589087,0.26033664,0.25963607,0.29122627,0.09822547,-0.38120055,151.8869599,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
Beseka  middle,8.89731,39.90717,21/10/2018,0.705276566,0.920118343,0.932835821,0.12296541,0.24662589,0.16811347,0.10945928,0.11631572,0.12429896,0.15483437,0.22649792,0.26107073,0.2604771,0.2920963,0.099031016,-0.38260117,152.1295175,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
Beseka  out  gate,8.888565,39.917802,19/11/2018,0.659543619,0.866863905,0.867537313,0.1492696,0.2836508,0.21854252,0.12583086,0.12794359,0.15060453,0.16520607,0.19588085,0.21808288,0.2159421,0.24371961,0.0937865,-0.37830254,-0.25589466,0.525771234,0.503760309,0.197613985,0.292715352,0.019268885,0.250999109
Beseka  middle,8.89731,39.90717,19/11/2018,0.852638283,0.890532544,0.867537313,0.15026347,0.2845416,0.21924603,0.12638281,0.12854324,0.15130185,0.16597334,0.19667378,0.21891598,0.21682635,0.24463217,0.09488082,-0.37764242,-0.25561923,0.526957929,0.504902026,0.198533659,0.293988571,0.01944883,0.252065529
Beseka  out  gate,8.888565,39.917802,03/11/2018,0.647686929,0.843195266,0.708955224,0.1492696,0.2836508,0.21854252,0.12583086,0.12794359,0.15060453,0.16520607,0.19588085,0.21808288,0.2159421,0.24371961,0.0937865,-0.37830254,-0.25589466,0.525771234,0.503760309,0.197613985,0.292715352,0.019268885,0.250999109
Beseka  middle,8.89731,39.90717,03/11/2018,0.629393751,0.849112426,0.71641791,0.15026347,0.2845416,0.21924603,0.12638281,0.12854324,0.15130185,0.16597334,0.19667378,0.21891598,0.21682635,0.24463217,0.09488082,-0.37764242,-0.25561923,0.526957929,0.504902026,0.198533659,0.293988571,0.01944883,0.252065529
Beseka  uper,8.90574,39.8977,03/11/2018,0.174774384,0.227810651,0.358208955,0.15120317,0.28536603,0.21988703,0.12690103,0.1291039,0.15195128,0.16668662,0.19740695,0.21968408,0.21764319,0.24547242,0.09591259,-0.3770168,-0.25534254,0.528064687,0.505969297,0.199391598,0.295170401,0.019617504,0.253054092
Beseka  out  gate,8.888565,39.917802,20/12/2018,0.590097293,0.766272189,0.791044776,0.12426691,0.2772236,0.21732955,0.113960855,0.1167129,0.14127281,0.15522277,0.18187277,0.20206662,0.20376231,0.22768132,0.08853142,-0.4074532,-0.27162603,0.50520656,0.480285074,0.183248215,0.274041943,0.01648836,0.234821163
Beseka  middle,8.89731,39.90717,20/12/2018,0.562996287,0.730769231,0.776119403,0.12425847,0.27769002,0.217666,0.11399629,0.11679742,0.14141764,0.1554355,0.18211114,0.20233916,0.20411927,0.22804028,0.088971905,-0.4078523,-0.2721013,0.50538493,0.480409936,0.183413699,0.274418037,0.016517214,0.235172939
Beseka  out  gate,8.888565,39.917802,03/12/2018,0.678514323,0.881656805,0.888059701,0.12426691,0.2772236,0.21732955,0.113960855,0.1167129,0.14127281,0.15522277,0.18187277,0.20206662,0.20376231,0.22768132,0.08853142,-0.4074532,-0.27162603,0.50520656,0.480285074,0.183248215,0.274041943,0.01648836,0.234821163
Beseka  middle,8.89731,39.90717,03/12/2018,0.689015962,0.881656805,0.880597015,0.12425847,0.27769002,0.217666,0.11399629,0.11679742,0.14141764,0.1554355,0.18211114,0.20233916,0.20411927,0.22804028,0.088971905,-0.4078523,-0.2721013,0.50538493,0.480409936,0.183413699,0.274418037,0.016517214,0.235172939
Beseka  uper,8.90574,39.8977,03/12/2018,0.139204314,0.183431953,0.645522388,0.12424321,0.27810708,0.21795666,0.11402234,0.116867706,0.14154108,0.15562105,0.182317,0.20257366,0.20443396,0.22835241,0.08938443,-0.408227,-0.27253595,0.505532804,0.48051019,0.183553637,0.274745669,0.016541582,0.23548101
Beseka  out  gate,8.888565,39.917802,02/01/2019,0.671400309,0.902366864,0.776119403,0.124048404,0.2870436,0.22727022,0.11490333,0.11888325,0.14782348,0.1626334,0.18429743,0.20303823,0.20598496,0.22840546,0.09604907,-0.41426268,-0.268114,0.512568838,0.483514822,0.189697153,0.280026455,0.017573737,0.237829841
Beseka  middle,8.89731,39.90717,02/01/2019,0.669706496,0.902366864,0.794776119,0.12404689,0.28750908,0.2276573,0.114944786,0.11896106,0.14796963,0.1628144,0.18447709,0.20326988,0.2062858,0.22872142,0.09626008,-0.41466275,-0.2684876,0.512751811,0.483638134,0.189859806,0.280357948,0.017602624,0.238129306
Beseka  uper,8.90574,39.8977,02/01/2019,0.214070842,0.286982249,0.593283582,0.124037266,0.28792423,0.2279908,0.114976756,0.11902548,0.14809364,0.16296962,0.18462983,0.20346747,0.20654893,0.22899532,0.0964606,-0.41503593,-0.2688278,0.512903887,0.483737773,0.189996817,0.280644349,0.017626917,0.238389438
Beseka  out  gate,8.888565,39.917802,28/11/2020,0.13010854,0.174556213,0.664179104,0.12407987,0.2697686,0.19048178,0.11443981,0.119654484,0.1430307,0.16516851,0.21371667,0.24215169,0.24240442,0.2729257,0.0899598,-0.3854782,-0.33903304,0.507415521,0.483832917,0.186480502,0.305834724,0.017114265,0.270327758
Beseka  middle,8.89731,39.90717,28/11/2020,0.722214694,0.970414201,0.970149254,0.124104135,0.27056792,0.19101664,0.11455497,0.11986725,0.14347889,0.16573061,0.21414612,0.24260846,0.24299158,0.2735286,0.0904268,-0.3859813,-0.33931744,0.507970331,0.484171686,0.18696082,0.306592983,0.01719842,0.270948457
Beseka  uper,8.90574,39.8977,28/11/2020,0.744234261,1,0.955223881,0.124118574,0.27127963,0.19149035,0.11465021,0.12004936,0.14387254,0.16622663,0.2145147,0.24299799,0.2435056,0.27404958,0.09086312,-0.38645303,-0.33958068,0.508451331,0.484458016,0.187379714,0.30725581,0.017271806,0.271490007
WEIR SITE,9.206525,40.119202,28/11/2020,0.128126779,0.171597633,0.514925373,0.13113895,0.26095694,0.19490229,0.122015916,0.12802547,0.15468974,0.17104378,0.20761123,0.23152693,0.22915205,0.25626776,0.08346348,-0.3417416,-0.28312695,0.526028193,0.500041386,0.200797008,0.304680328,0.019804228,0.262490353
DEHOSPPRING,9.166462,40.083482,28/11/2020,0.327183664,0.440828402,0.526119403,0.12953594,0.26243836,0.19382852,0.120285794,0.12611605,0.15215349,0.16961843,0.20820384,0.23286495,0.2312428,0.25876823,0.08528117,-0.35084483,-0.294177,0.521957169,0.496388806,0.197625767,0.304186093,0.019188998,0.263397976
KESEM,9.335145,40.172296,28/11/2020,0.031901271,0.044378698,0.208955224,0.13556701,0.26013002,0.19983037,0.12713078,0.13398921,0.16318229,0.17703304,0.20791385,0.23002191,0.22603725,0.25224218,0.08015685,-0.32005745,-0.2556702,0.538807076,0.510999013,0.21114348,0.309312798,0.021864668,0.262765956
WARC,9.335145,40.172296,28/11/2020,0.132310496,0.177514793,0.320895522,0.13556701,0.26013002,0.19983037,0.12713078,0.13398921,0.16318229,0.17703304,0.20791385,0.23002191,0.22603725,0.25224218,0.08015685,-0.32005745,-0.2556702,0.538807076,0.510999013,0.21114348,0.309312798,0.021864668,0.262765956
Beseka  out  gate,8.888565,39.917802,03/12/2020,0.1219613,0.162721893,0.664179104,0.12525837,0.28119755,0.20593081,0.119753465,0.12456314,0.1501674,0.16901581,0.20558801,0.23111619,0.2316407,0.26052815,0.09358576,-0.38602656,-0.30060753,0.519539094,0.494283934,0.19510568,0.302859107,0.018705323,0.263008344
Beseka  middle,8.89731,39.90717,03/12/2020,0.745250549,0.970414201,1,0.12520365,0.28167266,0.20635255,0.11969795,0.1245852,0.15042925,0.16928756,0.20567532,0.23120694,0.23188473,0.26074067,0.09396032,-0.38666934,-0.30100587,0.519737626,0.494250086,0.195321351,0.303184695,0.018741257,0.263233737
Beseka  uper,8.90574,39.8977,03/12/2020,0.767947641,1,0.992537313,0.12514822,0.2820936,0.20673312,0.119642094,0.12459804,0.15065649,0.16952218,0.20573737,0.23126876,0.23208833,0.2609105,0.094310045,-0.3872604,-0.30135798,0.519902477,0.494206571,0.195504604,0.303458468,0.018771503,0.263419178
DEHOSPPRING,9.166462,40.083482,03/12/2020,0.334670316,0.449704142,0.589552239,0.13153996,0.27235934,0.21038118,0.1255872,0.13129698,0.15890667,0.17318186,0.20236376,0.22538075,0.22330293,0.25015956,0.0914704,-0.34946156,-0.25946411,0.533379662,0.506837422,0.206131573,0.303898707,0.020863965,0.259042651
KESEM,9.335145,40.172296,03/12/2020,0.032561858,0.044378698,0.649253731,0.13781191,0.267473,0.21548994,0.1314177,0.13835557,0.16875169,0.17937428,0.20264429,0.22406375,0.21962805,0.24552457,0.08881259,-0.31815758,-0.2270285,0.54787717,0.51939703,0.218218686,0.309606001,0.023347735,0.259574159
